product_code,liking,liking_free_text,post_taste_pi,meets_expectation_free_text
254,7,Bite size actual size my kids would love,4,More frosting less dense
590,8,Love the frosting portion. It looks like the picture. No disappoinment!,5,Have a Carmel option. Little less dense.
590,4,The frosting is fairly tasty and the roll isn’t as rubbery as I thought it would be.,2,Needs more more cinnamon
254,4,The frosting is tasty.,2,More more cinnamon. The roll was a little too dry and chewy.
254,1,Nothing,1,Make it an actual cinnamon roll. This is more like a cookie bite.
590,2,Nothing,1,"Make it a cinnamon roll, not a cookie bite."
590,6,While I liked the texture the most it was not what I was expecting from a cinnamon roll but very good,3,Less vanilla flavor more cinnemon
254,7,The cinnamon flavor and the after taste,3,It is a little too dense for me
254,5,I like the size and the initial flavor,3,I’d like it to be a little “puffier”-more like a cinnamon roll.   I also think it should be a little bigger.
590,6,It didn’t leave the aftertaste that the previous sample did and was just the right amount of sweetness.,3,"Make it “puffier” and maybe a rolling pattern, like an actual cinnamon roll."
590,2,"Small size, bite size, good for little fingers, kids.",2,"Less sweet, a little bigger, less frosting"
254,4,"Just enough frosting, bite size and good for small hands",4,"Too dense, tastes doughy, too sweet, leaves a fatty residue taste in my mouth"
254,2,It much actually,2,"They r too small. How many would I have to eat to make it into a roll? Why not make the, larger to begin with. Seems like a lot of ,easing around for mini mini rolls"
590,4,It a lot other than it had more frosting,2,It tastes like fake or imitation cinnamon. Leaves weird aftertaste kinda like the fake aspartame does
590,3,I liked the cinnamon flavor and the amount of frosting.,3,"It was much too dense and chewy for me. I expected it to be flakier. Also, it was much more condensed than the picture."
254,3,I like that it wasn’t too sweet.,3,"The amount of cinnamon makes it somewhat bitter, and there’s also a bit of a sourness to the flavor. I would make it flakier, tone down the cinnamon, and add a bit more frosting."
254,8,I love cinnamon so it tasted better than expected.  I think this would be a great grab and go in the morning.,5,Maybe make them a little bigger.
590,8,The amount of frosting.,5,The texture was a little grainy.
590,8,I liked the cinnamon flavor. It tasted moist and not dry.,4,Bigger in size. Less frosting drizzled on top. It tasted a bit too sugary. I couldn’t taste the bread as much.
254,9,"I liked the cinnamon flavor, it was sweet but not over powering. Just the right amount of frosting on top. It wasn’t too chewy, it was moist enough.",5,Make it bigger!
254,4,I liked the crunchiness of the frosting and the size,2,"I would make it more almost cake like, I’d add more cinnamon"
590,8,"I loved the flavor, the crunchiness of the frosting",5,I’d make them bigger so I could have more
590,5,Flavor was good. Not too sweet good cinnamon amount.,3,It was more of a cookie than I expected. Pic looks fresh baked where the product is actually pre baked
254,7,The right amount of frosting helped keep the sweetness the right amount.,4,It was a little hard.
254,4,I like that this incorporated all the flavors of a cinnamon roll in a bite size form.,1,I would make it LOOK like a cinnamon roll and warm up for a short time.
590,4,The texture and softness of the mini is good.,2,Warmed up and I wish I got more frosting flavor (cream cheese) with the amount that is on here.
590,9,Great bite size very tasty I liked how chewy they were and not to sweet.,5,I don’t think I would change anything.
254,9,This one had less frosting so I wasn’t sure if I would like it as much as the other one however I actually liked it just as much. Love the bite size my kids will love it. It’s not sticky so no sticky fingers,5,Leave it as is
254,7,That it was in a cookie form.,4,Just a little more frosting.
590,8,There was more frosting than the previous sample.,4,A little bigger & a little less cinnamon.
590,4,Good cinnamon flavor,2,The texture was terrible
254,7,Texture and flavor good,4,Could be a bit sweeter
254,7,"Flavor was amazing and it was perfect texture wise, great mini snack.",4,"Nothing ,"
590,7,"It was more dense, I don’t know if it was cooked longer or what but it taste like a thicker cookie. I love cinnamon so it was perfect and the frosting is just right for kids but as an adult a little too much but not too much to complain about it.",4,The amount of frosting
590,3,Easy to eat small enough to fit in mouth or hand,2,The aftertaste it leaves in mouth
254,7,It taste pretty good.,4,More frosting on it
254,6,The taste was ok.,3,Bigger size
590,8,Taste and flavor,4,Make size bigger
590,6,Portion size,2,I like warm cinnamon rolls- was a little too sweet
254,5,Softness,3,More frosting
254,7,Great cinnamon flavor,3,Too dense. Needs to be more fluffy
590,8,Overall taste was good,4,Still too dense. Would like it to be more fluffy and soft
590,5,The cinnamon taste and sweetness are nice.,2,Make it bigger and call it a cinnamon roll cookie or cake. I expect a cinnamon roll to be hot not cold. The texture is not light and fluffy like a cinnamon roll
254,3,The frosting,2,Add more cinnamon. It is very bland in flavor. This is more of a cookie than a cinnamon roll. It should called something else
254,7,Good cinnamon flavor.  Good snack size I know my kids would love.,4,It was a little chewier than I prefer.   Would like it a little fluffier.
590,8,"I was surprised. I thought it was going to be overly sweet from the picture but it actually seemed less sweet than the other sample, which I liked.  This one also did not seem as gummy textured it was more fluffy as I prefer.",5,I liked this one.  I think they would be a great grab and go breakfast snack for me and my kids
590,6,Frosting,3,Less sweet
254,8,Taste,4,Softer
254,8,Taste easy to eat,5,Make them bigger
590,8,Tastes good soft,5,Too much cinnamon flavor
590,2,I enjoyed the frosting.,2,I didn’t like the crunchiness of the cinnamon
254,7,It was a good balance of cinnamon and frosting.,3,"Not sure, I enjoyed the cinnamon roll as it is."
254,3,The cinnamon flavor and the size,2,It doesn’t remind me of a cinnamon roll at all and instead is just like a cookie. And it needs more frosting.
590,6,Quantity of frosting,5,More cinnamon and more layers. It’s just a cookie.
590,8,Size and flavor,5,Make softer like traditional cinnamon roll
254,8,Size and flavor,5,More cinnamon roll texture
254,3,It was grainy like sand and not smooth like soft chewy cinnamon rolls with frosty.  Not like the packaged cinnamon rolls need more of the roll or twist like you get when buy the baked cinnamon rolls,1,Mentioned previously make like rolls
590,6,Taste,3,Wish it was more like a cinnamon roll not like a mini biscuit wit cinnamon and icing
590,7,Texture,4,I’d make it slightly larger
254,5,The chewiness,4,It had too much cinnamon flavor
254,6,Had nice chew to roll.  Strong cinnamon flavor.  Nice and moist.,3,Frosting dried out and a bit too sweet.  Would like more chunks of cinnamon crunchy bits and less icing.
590,6,Strong cinnamon flavor. Nice and chewy and soft.,3,Way too much icing. Icing was hard and dry.  Use less icing
590,4,I loved the concept but then when I saw the product in person I was somewhat confused and a little disappointed in that I thought they might be bigger and softer. Even though it clearly states they are mini!,3,A bit bigger and softer
254,4,"I like that’s it’s Pillsbury, a name I trust. I like the thought of mini.",2,I would make it a bit bigger and softer.
254,1,I liked the crunchy cinnamon texture and the after taste. It’s delicious,5,Maybe a little softer. It was slightly drier. More like a cookie
590,8,The cinnamon taste and crunch!,5,A little too much frosting. Not terrible but also not needed.
590,4,Nothing really. Tastes fake,2,Too dense.
254,4,Not as much frosting. Good cinnamon flavor,2,Seems very artificial. I wouldn’t waste calories on this
254,7,The sweet flavor and slight crunchiness of the frosting,4,It feels a bit too dense. I would want it to be a little lighter.
590,7,The frosting flavor,4,The density. I wish it were a little bit lighter.
590,6,"Good flavor, moist",3,"Less chewy, bigge"
254,7,"More cinnamon flavor, tasty",3,"Less chewy, bigger"
254,7,"It tasted better than I anticipated. The texture was firmer than a roll, but softer than the appearance. Taste was nice. If it was marketed as a cinnamon roll cookie, I think that fits beter.",4,"A little more frosting. Or even frosting in the center. Also, it left my mouth with a filmy feeling that I would change."
590,6,Lots of frosting and moist.,2,It was not flavorful - taste was a little bland. The cinnamon sweet flavor needed to be highlighted more.
590,8,"It’s size snack that was satisfying, filling and had the right amount of sweetness.",4,Maybe a little bigger
254,9,Less frosting felt like a healthier option for my family which I liked. But I felt like it didn’t have enough overall flavor.,4,Stronger flavor ingredients- a bit more flavor and frosting.
254,3,Cinnamon flavor,1,Seems gritty. Not soft enough. .  More like a chewy cookie.
590,6,Like the appearance of more frosting.  This sample was slightly softer.,2,Liked the amount of cinnamon flavor in sample 254. 590 has more vanilla flavor.
590,8,The cinnamon flavor was great,4,"Make it a little softer, slightly bigger"
254,5,"Easy to eat,  it messy",3,Make it sweeter with more cinnamon flavor. Add a tiny bit more frosting.
254,7,I liked the texture. It wasn’t quite what I expected it to be for a cinnamon roll but it worked. I was pleasantly surprised,3,Maybe slightly less cinnamon
590,7,I liked the amount of frosting. (I think kids always want the ones with the most frosting!) I also liked the texture.,3,Maybe slightly bigger
590,8,Very nice and even flavor,4,Heat it slightly or encourage to do so
254,6,Taste was good,3,Texture is grainy and a bit too much cinnamon
254,8,It had a really nice cinnamon flavor,4,I would like it a little more chewy and less clumpy
590,9,It was exactly how chewy I would want it and had a great amount of frosting,4,I would make the cinnamon flavor stronger
590,6,Frosting was yummy!,3,A tad bigger and tad less cinnamon  Maybe make frosting more gooey
254,8,The flavor was powerful and fun  A mini sweet treat,4,Just tad fluffier or thicker
254,6,The overall flavor was really good.,2,"It looks like it is going to be really hard, almost like a small hard cookie. More frosting."
590,6,The amount of frosting.,4,Mine was crunchy in spots which could have been the cinnamon. The cinnamon flavor was very strong.
590,3,"Not much, it’s sweet so that’s satisfying but it’s too sugary crunchy sweet and the texture is so gooey",1,"Are it feel a taste like bread, fluffy fresh baked rolls"
254,3,It’s sweet so I guess that’s satisfying when I want a sweet treat,1,Why call it a roll? It’s really like a small cookie or bite . I’m disappointed it’s not a fresh fluffy roll. It’s pretty sweet and strangely soft/ moist
254,4,Easy snack size,3,"Less chewy, less cinnomon"
590,6,Snack size,4,Less frosting and less like a cookie
590,8,The size because I be able to put in a bag for snack on the go with the kids,5,Not so much frosting
254,8,It was less sweet,5,Little more cinnamon taste
254,2,Softness,1,Not sure. I generally don’t eat room temp cinnamon rolls
590,4,Easy and portable,2,Less frosting.
590,6,The cinnamon flavor,4,Too much frosting made it too sweet
254,7,"The cinnamon flavor, not too sweet",4,Nothing
254,5,Overall taste,3,Size
590,7,Flavor,4,Size
590,3,The cinnamon roll has very good flavor and a pleasant aftertaste. It is what I expect of a sweetness of a cinnamon roll.,2,I would call this a cinnamon roll. It is like a thick chewy cinnamon roll cookie but very dense. The texture of a protein snack. I would make it more bread like.
254,3,It is an easy treat. Eating wise it was not my favorite.,2,"Needs to be sweeter, more icing, more like a cinnamon roll if advertised as one. This left a weird tacky flavor in my mouth."
254,7,The softness and the chewiness,3,Needs to be a bit sweeter. Little more frosting.
590,8,The softness and the chewiness.  Right amount of sweetness.,3,The appearance of The Frosting.  Needs to not look stringy.
590,7,It was softer than I thought it would be. The icing and cinnamon were good,3,I know they are mini but these are tiny. They look bigger in the pictures.  They look like actual cinnamon rolls in the pic. The. Actual product looks nothing lie that
254,7,It matched the picture   Just the right amount of frosting  Great flavor,3,Nothing
254,2,It has enough sweetness and a good flavor.,2,I would make it at least double the size. I would also add a lot more moisture and some more frosting.
590,2,It has an appropriate amount of frosting.,5,I would make them double the size and increase the moisture.
590,9,They were much smaller than I expected. The burst of flavor in each bite was really good. The cinnamon didn’t overpower overall flavor.,5,I would add a little bit more of the drizzle of frosting.
254,8,The size are just right.,3,I take a tad bit of cinnamon out and maybe a little more moisture needed.
254,1,Cinnamon flavor was the only thing I liked about this prodict.,1,I would make it less doughy and more fluffy.
590,2,The frosting was the best part.,1,Make it less doughy and more less artificial tasting.  Not a great product.
590,7,"Perfect portion size, great flavor",4,"It was too doughy, almost like raw dough which was not appealing"
254,8,Flavor was perfect. Texture was what I was hoping for. Liked that it was soft but not too chewy.,5,Nothing for 254
254,3,Flavor,2,"Much bigger, HAS TO BR FLAKY"
590,3,Frosting,1,"Stop calling it a cinnamon roll, it’s a wad of dough."
590,7,Flavor of cinnamon,3,Some crunch possibly
254,6,Liked the visible texture,4,Some crumble topping
254,7,The size and overall concept that it is ready to eat and take on the go.,2,More frosting flavor and softer texture.
590,8,The extra amount of frosting and sweet flavor.,5,Needs a little more cinnamon flavor and still not soft or moist enough.
590,2,The cinnamon taste,1,It’s more of a cookie than a roll. Not what I expected. Very dense. I would want a real roll.
254,2,This tasted very strong. The product is more of a cookie than a traditional cinnamon roll. It disappointed me. I expected warm cinnamon bites.,1,More of a roll /bread texture that is less dense. Less cinnamon for such a small amount.
254,2,Size was ok for snack,2,"Less sweet, less grainy, less artificial and chemical flavor"
590,3,Visually more attractive than previous sample. Frosting creates aesthetic appeal,2,Make less sweet and less grainy.  Make more fluffy.
590,3,Pre made,3,Too dense
254,2,Pre made,2,"More frosting, softer, less dense"
254,9,"I loved how sweet, moist and chewy these are.  They are the perfect size and wonderful for that sweet craving as well",1,Nothing
590,7,I like the size as it looked as it would be much larger from the photo. It had great frosting and texture,2,More moist and a little more flavoring to add to the sweetness and cinnamon taste.
590,8,So perfectly chewy. Good cinnamon flavor.,5,Nothing. I would buy. My kids would love it.
254,6,The texture is so good. Chewy and moist. Cinnamon flavor is also very good. Sweet so you don’t need a ton. Good small snack for kids.,4,"More frosting, looks lackluster with the little amount of frosting."
254,6,Small size,4,Less sugar
590,2,Small size,1,"Less frosting, less sweet"
590,7,I really liked the size,5,"It looks like a mini cookie, can it be more “roll” also it looks dry"
254,8,The frosting amount was perfect,4,More cinnamon
254,8,That it kept it taste as if you were to bake them in the oven,5,Just a tab bit softer
590,7,That you can taste the flavor and they are small,4,Needs more flavor and just a little bit softer
590,2,Easy to pick up and eat.,1,Make it fluffier and less chewy or dense. Flavor is so strong
254,2,Easy to pick up and eat.,2,"Too chewy and soft, was more like a cookie"
254,4,Not messy,2,Size bigger
590,4,Ample cinnamon flavor and visual,3,"Less dense, fluffier"
590,6,Cinnamon flavor was great and frosting was sweet,2,Actually make it look like a cinnamon roll instead of prepackaged cookie. I was expecting a mini baked cinnamon roll from a tube. Would make them slightly larger
254,6,Very soft and moist,2,More cinnamon and more frosting. I want it to look like a mini cinnamon roll that would come out of the tube. Would like it slightly larger
254,8,It was moist and dense and had a good cinnamon flavor,4,I did not expect it to be so small
590,8,I like the strong cinnamon flavor and that it is not overly sweet,4,I think they could be a little bit bigger
590,7,The taste is great as well as the texture,3,The shape looks pretty flat but I could live with it
254,7,Flavor,4,More cinnamon flavor
254,5,I like the flavor and the softness of the cinnamon roll.,2,"Not enough frosting, frosting is too hard and not soft, product is more of a cookie than a cinnamon roll."
590,6,I like the flavor of the cinnamon roll as well as the texture.,3,I would make the frosting softer and the cookie bigger.
590,8,I really like the cinnamon flavor and overall taste. I especially like the texture and our kids would love these as  a special breakfast treat.,4,I would like if they were a bit smaller and taller.
254,8,"It tastes just like a mini cinnamon roll, so it met my expectations. Nice flavor, texture was a little gritty.",4,A little bigger and taller and a little less grit in the texture.
254,3,Frosting,2,"Not so much cinnamon, make it a more doughy texture"
590,6,"Better texture to a real cinnamon roll, not as strong cinnamon",2,Less cinnnamon
590,7,The taste is enjoyable and sweet,4,It seems a bit dry and the size is quite small ~ it would take a lot to feed my kids. I would make it moist and increase the size by even just a little.
254,7,The taste was good and not too sweet,4,More moist and slightly larger size
254,9,The overall flavor.;  good mix of cinnamon flavor and dough,5,A little more frosting or the option to microwave a small packet of frosting and dip in it
590,9,"The amount of cinnamon ,frosting , and dough made a really good mix",5,"Little larger size, depending on how many came in a serving"
590,9,Overall this hit the make with the right combo of flavor and amount of each flavor,5,Make it a little bigger.
254,7,Good flavor,3,Balance the flavors more like the first. More frosting.
254,3,I really liked the taste. Thought that it would be less taste than original size but it packed in the right amount of sweetness. I loved that it was chewy but not too chewy. Wish it was a little bit bigger in diameter,2,I would make it with a little more frosting.
590,8,I liked that there was more frosting as not only do I want the cinnamon flavor but wanted the frosting just equal,4,Size is too small
590,5,Good bite size amount.,3,Make product not so dense
254,6,Not too much frosting,3,A little bigger in size
254,7,The amount of cinnamon,3,"The look, it looks like a cookie not a cinnamon roll."
590,6,That it is moist.,3,"Too chewy, too muck like a cookie than a bread roll."
590,8,It was a tasty snack and I could see wanting this driving on trips in the car.  Just enough and not too much.,4,Less frosting. We bake cinnamon rolls and leave off the frosting.
254,7,There is about the right amount of frosting but it seems a little more like a cookie and less like a cinnamon roll.  As a cookie it seems undone and gooey.,4,I liked the first one better if the first one had less frosting
254,5,"I liked that it was like a cookie, not a cinnamon  roll.",2,"Well, if you want it to be a cinnamon roll then it needs to come apart, this is just like one solid piece"
590,6,I do not like this. It tastes more artificial than the last one.,2,"I would make it taller, less frosting, swirled"
590,6,Size good for quick breakfast,3,Maybe could be heated up
254,5,Size,4,More frosting
254,5,Taste was dry not very appealing,4,More flavor or chewiness
590,4,The frosting,3,Not soft enough should be served warm
590,9,"I could eat the whole roll in one bite, and it wasn’t to big for my mouth to do so. Perfect size",5,"It’s perfect, I would change nothing"
254,8,Can eat the whole roll in one bite,4,Add more frosting
254,4,I enjoyed the flavor of the cinnamon roll.  The size was about right for a mini cinnamon roll.,3,The texture was not what I expected and not like any cinnamon roll I’ve tasted.  It was chewy and more dense than I would like.
590,7,I like the flavor and sweetness of the cinnamon roll.  The cinnamon roll had a generous amount of frosting.,4,The cinnamon roll was much too chewy.  The texture reminded me more of a cookie than a cinnamon roll.
590,2,Cinnamon flavor was good,1,Bad after taste/too small
254,3,Good flavor,2,Bigger size and more frosting
254,8,The bite sized cinnamon flavor with sweet after tastes.,1,It was a little grainy.
590,9,Great flavor notes of cinnamon with the right amount of sweetness.,1,A little bigger in size and a smidge less grit.
590,1,I didn’t like anything. It was disgusting.,1,It needs less cinnamon and a doughier texture. It is more like a cookie than a roll. The flavor was very off.
254,1,This is very disappointing. I miss the dough. Gross.,1,It needs to be more doughy. It needs more natural flavoring.
254,2,The flavor was great and it was the taste of a cinnamon roll,2,The texture was horrible it was extremely dry and was more the a biscuit type of cookie
590,2,I really like the amount of sweetness because it’s not overly sweet and the cinnamon flavor was just enough,2,The texture was way off it was not  soft like a real cinnamon roll and was like biscuit
590,6,It reminded me of Christmas meaning the flavor. Maybe this should be a fall or winter special like the pumpkin spice.,2,Make them look more like cinnamon rolls they look like cookies with frosting.
254,5,Nothing really it just didn't do it for me,2,The texture it’s just too chewy in my mouth.
254,1,I liked nothing about it.,1,This tastes like an under baked cookie and not a cinnamon roll. Make it taste less like dough.
590,1,Nothing. Cinnamon flavor was ok.,1,Make it taste less like a cookie and more like a cinnamon roll.
590,8,The clusters of cinnamon were great as well as the flavor.,5,The icing didn't have much flavor. A cream cheese taste would’ve been nice.
254,7,The icing looked better than being drenched in it.,5,"A little more icing, more flavorful icing, more cinnamon, and a roll appearance would be nice."
254,4,Frosting and cinnamon flavor,2,"Texture tastes too chewy and unbaked, too much like dough"
590,7,Like lots off frosting and size,4,Too chewy and doughy tasting to me
590,4,The flavor is spot on with like a Cinnabon product ~ which is yummy,3,It’s much too dense like a thick chewy cookie or browny bite. A cinnamoroll should be more pastry like
254,2,"I think the cinnamon flavor is good but otherwise, I don’t like this product much",1,It’s needs to be more of a pastry. This is like a dense chewy cookie. I really wanted the texure of a cinnamon roll and not just the flavor.  This seems like a cinnamon roll flavored cookie or scone
254,8,The taste is good. Not the same texture of a normal cinnamon roll but I still liked it very much.,4,A little too small
590,8,The texture,4,A little too small. Seems like a lot of frosting.
590,7,"The size and flavor. More specifically, the bite size and rich but sweet flavor.",2,Make it slightly larger.
254,6,The texture and moistness.,2,"Add more frosting!,"
254,4,"The taste and size. The flavor was what I expected and the size was good, about two bites each.",1,"The texture and lack ofswirl. I would not call this a cinnamon roll, there was no roll to it."
590,3,The frosting was a better proportion. The flavor was good. Lots of cinnamon.,2,The texture. It tastes like a squished muffin. It has NO SWIRL!
590,3,The flavor of the icing,2,I think I would make it so it could be heated up and/or just more cookie-like. Meaning the texture is too dense and chewy
254,4,Size,2,More frosting and cinnamon flavor. I did not like the texture it was too chewy. It would be better if it was crunchy and marketed as a cookie
254,6,How dense in texture this was. Very good.,3,Put a little more cinnamon
590,9,"Flavorful, full of texture, freshness and just the right amount of frosting.",5,"Nothing. This is absolutely perfect,"
590,7,Appearance was nice and consistent. Good consistency between both rolls.,3,Less grainy texture and more cinnamon flavor
254,8,Great combination of flavor and texture. Packaging looks reflective of product,5,Slightly larger size would be good. Reduce count and increase size to make it seem healthier. “I only had one…”?
