product_code,liking,liking_free_text,meets_expectation,meets_expectation_free_text,product_improvement_free_text
Chobani Smooth,9,"I love the  smooth  texture and the overall taste.  The texture feels like as it was extremely whipped (like whipping cream) and provides a different type of texture than traditional yogurt.  In my opinion, typical yogurt, is not as whipped as this version of yogurt.  Typical yogurt tends to be more separated than whipped.",4,The current package does a great job on conveying the message of the yogurt type.,I would love to see  fruit chunks  added as this would help to bring out the flavor and enhance it even more.
Chobani Original,7,"I liked the strawberry taste. I thought it had a good amount of sweetness, but not too sweet.It had a good amount of tartness too. I liked that it had a good amount of protein. I liked the serving size. It was a perfect amount for a snack.",4,"When I buy for myself, I usually get Chobani that is already blended. That will change after this study, because I liked the flavor of this yogurt. The fruit on the bottom wasn't too chunky. I was expecting it to be more chunky. The fruit really cut the tartness that can be too much for me with plain greek yogurt. It was overall tastier than I was expecting.",I didn't love the chunks. I like the fruit on the bottom to be smooth. It had quite a bit of sugar....15g per serving is more than I would like.
Chobani Smooth,8,"Tastes great, sweet, smooth",4,"Smooth on the label made me think the consistency would be a bit thicker and creamier, but was still good!","A little runny, maybe a bit thicker, more fruit chunks"
Chobani Original,8,"Product was not too sweet, has a thicker taste (but not too thick) and has good flavor. Overall, it's something I would eat.",3,N/A,Consistency of the strawberry at the bottom might have been a little too thick.
Chobani Smooth,8,"I like the smooth and creamy texture and awesome taste, which was not too sweet.",4,"This yogurt was smoother and creamier than I expected, packaging is representing of the product.","I would have enjoyed more fruit chunks in the yogurt, but everything else about it I liked."
Chobani Original,8,LOTS OF FRUIT IN THE CUP. GOOD FLAVOR. VERY FILLING,3,"NOTHING, I THINK THE PACKAGING SUITS THE PRODUCT.",THERE CAN ALWAYS BE MORE FRUIT.
Chobani Smooth,6,Creamy,1,"I thought there would be pieces of fruit in there,,even though it said smoothe,,it did not have very much fruit taste, I think I would change the packaging to say  FLAVORED  with fruit",Has an aftertaste and needs more fruit mixed in.
Chobani Original,8,Mixture of fruit pieces with yogurt.  Only 120 calories.,3,Nothing,"Have pre-stirred, mixing fruit pieces with yogurt."
Chobani Smooth,9,It tasted like fresh fruit and was very filling.,5,nothing,Nothing
Chobani Original,9,Texture  Protein content  Consistency  Real fruit  Amount  Fullness,4,Emphasize the  non-fat  and  profits better the world,More real fruit
Chobani Smooth,8,I liked the texture.  It was very smooth and creamy.  I liked that it wasn't too sweet.  It had a  clean  taste with no artificial or unpleasant aftertaste.,4,"The package says pure milk and real fruit so I was expecting some fruit pieces.    I usually consider  blended  to mean no fruit pieces so even though this one said  smooth,  I thought there would be bits of the real fruit mentioned on the package.    Otherwise, I thought the package described the yogurt very well.",I would like a little bit more fruit flavor and pieces of fruit.
Chobani Original,7,"I thought the actual yogurt was good, creamy, smooth and filling like I expect of greek yogurts. The packaging is eye pleasing.",2,The large fresh-looking strawberries on the packaging are a bit misleading as it looks like you're going to experience a fresher fruit jam than what was actually in there.,"I tend to not like  fruit on the bottom  yogurts and this yogurt did not sway me to like it better. I wish there was a way for yogurt makers to have more of a fresh fruit, or even a fresher seeming  jam  in their yogurts but probably that wouldn't keep well enough. In any case, I didn't care for the strawberry jam that was added, or at least not enough to make me want to purchase it."
Chobani Smooth,7,"That it is smooth and creamy, has less sugar, is higher in protein than other regular yogurts. However, I my still opt for Greek yogurts that have a bit higher protein.  I like that it is non-GMO. The price is reasonable. I like that the fruit was blended in.",4,"Nothing unexpected, but I think it was wise to have  classic  underlined as at first glance I thought it was greek yogurt..but I assume in a food aisle it may be differentiated by location and that it would be understood.",Make it thicker; the consistency was a bit too thin.Sugar content still seems a bit high for being 25% less.
Chobani Original,8,"Thick and creamy  real strawberries gave it a good flavor, plus chunks of berries  5 grams of live cultures,  12 g. protein",4,nothing,nothing
Chobani Smooth,8,"color, consistency, no big chunks of fruit",5,no big chunks of fruit was unexpected.  the packaging should say  non-Greek  as Chobani is associated with Greek style yogurt,less sweet.  more fruit flavor
Chobani Original,8,There is a lovely thickness to this product. I really liked the consistency and weight of it.  It  felt  like a substantial treat. The fruit flavor adds pops of interest.,4,"The consistency was smooth even while the yogurt itself was more substantial.  That was very pleasing. If I'm going to consume something that represents between 5 and 10% of my daily caloric intake, I would like it to feel substantial/filling.","As with most Greek yogurt, there is a slight aftertaste. It isn't exactly unpleasant, but it is noticeable. Perhaps it is unavoidable."
Chobani Smooth,8,"Texture, flavor and not having the fruit on the bottom",3,No calories or nutrition information on the package which I look at right away,n/a
Chobani Original,7,i like that it is creamy and has big pieces of fruit,3,just how long it took to mix the fruit in,you have to stir it for a long time to mix it all in
Chobani Smooth,8,"It  was smooth & Creamy, It had the right amount of sweetness and overall great flavor.",5,It had better flavor than I thought it would.,I wouldn't change a thing.
Chobani Original,8,creamy,3,nothing,make it sweeter
Chobani Smooth,8,The taste is great!,5,"Well because it's Chobani, I assume it to be a greek yogurt and so because it's not thick like greek yogurt, it throws me off. I would also like to know how the sugar is being reduced. Is it a sugar substitute? I see the package says all natural and non gmo but I'd still like to see the ingredients. The package also says real fruit, so I'd like to see some fruit in it.",It's a little watery. I'd like to see some strawberry in it.
Chobani Original,7,"Pieces of fruit were perfect size,  not too big and blended in well with the yogurt.",3,No aftertaste that usually accompanies a lot of Greek yogurt,If there was a way to make it creamier and to bring out a little more of the strawberry flavor
Chobani Smooth,8,creaminess with a little tang,4,"it tastes more greek (concentrated, thicker) than I expected. I was assuming it would be more french (yoplait - thiner) style",a little more fruit flavor
Chobani Original,8,"Non-GMO, live cultured robiotics good for digestion health, made w/real fruit, cane sugar, taste, texture.",3,Less yogurt same size container is in reality false advertising. It makes me wonder if your quality has downsized as well.,Because you are giving us less yogurt in the same size container. It looks very unappealing - shriveled up yogurt sitting in whey.  It looks spoilt. People eat with their eyes.   I would never pay $1.55 for this. Spend your money on product not advertising. People aren't as stupid as you think. The containers are pretty butyou are downsizing content.  No longer enough to make a quick breakfast or lunch.
Chobani Smooth,7,Texture and flavor,4,I like the product's package. Excepted it seemed like the product was only half full. I also like less strawberry pieces.,Nothing
Chobani Original,8,The taste & creaminess was very good. I like that there were some little chunks of strawberries so you could really tell there were berries in the yogurt.,3,Nothing,It seemed a little thin for greek yogurt.
Chobani Smooth,8,"It's creamy, flavorful, (on the edge of) but not too sweet, fruity smelling and tasting, a bit tangy and affordable.",4,"Looks a bit  like a generic brand design, 2x protein and less sugar was a nice surprise and non GMO is a great plus",add piece of strawberry
Chobani Original,8,Thickness and great fruit flavor,4,Nothing,Nothing
Chobani Smooth,4,I like the packaging,2,This product was neither smooth nor mild as the container label states.,"The consistency is thinner than I prefer.  The package indicates this is a  mild  yogurt, but I find it to be quite sour, more like a Greek style yogurt.  The package states this is a  smooth  yogurt, but there are several small chunks of fruit in it."
Chobani Original,8,Good flavor and it was very smooth.,4,I din't think I would like the taste very much but I did.,I would have liked to have seen actual strawberry pieces instead of the jelly-like substance at the bottom of the container.
Chobani Smooth,7,"I liked the overall strawberry flavor and that it was already mixed in, versus being fruit on the bottom that had to be stirred in. I also liked that it was so smooth and creamy. It was light, flavorful, and filling. It would make a great addition to a meal or a healthy snack.",3,"Having eaten quite a bit of Chobani Greek Yogurt in the past, I was not expecting it to be so smooth (even though the package expressly stated it was smooth, like classic yogurt).","First, while I liked the smooth, creamy texture, it was slightly too runny. I would like it to have a little more consistency.     Second, it had an odd aftertaste - almost like fake sugar or too much sugar."
Chobani Original,7,the amount of protein and had lots of flavor.,3,n/a,Lower price.
Chobani Smooth,7,I like the flavor and there was no after taste for me. The texture is nice and smooth.,3,I thought it would be thicker.,I would like it a little thicker.
Chobani Original,9,Good flavor and I like the fruit chunks.,5,Mix before eating fruit on the bottom.,Mixing of the yogurt and make the cup bigger so it's slightly easier to mix.  Also if you don't mix it correctly you get a bitter taste.
Chobani Smooth,2,The texture and color look good,1,I thought it would be sweeter,Its too sour and has a horrible after taste
Chobani Original,7,the flavor is good.,3,little thinner than other greek yogurt,texture is off just a little
Chobani Smooth,6,Strawberry flavor was good.  Also the tangyness of the greek yogurt was perfect.,4,The tangyness was unexpected in a good way.  Package itself set my expectations of what was inside.,More fresh strawberry pieces.
Chobani Original,9,It tastes like actual strawberries.  It's not unnaturally pink.  It's sweet enough.  The yogurt is easy to get at -- there's no lip to the container that you have to scoop under.,4,"I didn't realize that this was a non-GMO product.  I don't think that I've heard that evaporated cane sugar was an ingredient.  I appreciate that the slogan was punctuated correctly, with the period inside of the quotation marks:  We believe fruit should come in pieces, not  flavors.",It could be a little less sweet and still be very good.  A little more fruit would be nice.
Chobani Smooth,7,"Very smooth, low fat, small chunks of strawberry",3,I think it does a good job representing itself. It is much smoother than what i usually purchase. I like how big a it states  Smooth  on it.,Stronger Strawberry flavor
Chobani Original,9,"Thick,  creamy, not too sweet with a slight tang, fruit on the bottom, with some pieces of fruit, container was big enough to mix the fruit with the yoghurt.",5,I did not find anything unexpected.,This particular product there wasn't much I would change.
Chobani Smooth,1,"I liked the texture.  It was very smooth, there were not any chunks in it.  I also liked the  color of the product.  The  coloring seemed very natural.  The price of the product is very good too.",1,The over-powering taste of sour milk.  I really could not get past that.,The flavor.  I found it to have a very over-powering taste of sour milk.
Chobani Original,6,Texture of the yogurt,3,Like the picture of the strawberry. It tells me what is inside.,More fruit on the bottom
Chobani Smooth,7,"The smooth, creamy texture.  The flavor was sweet, but no too sweet to be overpowering.",4,"I was somewhat expecting pieces of fruit in it, even if just small pieces.",The aftertaste lingers a little more than I would prefer.
Chobani Original,8,"it is thick and creamy, good flavor",4,I think maybe the sugar content.  Also when you first open the container the separation is not very appealing,"I am not a huge fan of fruit on the bottom yogurt.  So  maybe blended?  Also maybe a bit less sugar, but still keeping it sweet tasting"
Chobani Smooth,8,Very smooth and tasty.,4,That it contained 2X the protein.,Nothing.
Chobani Original,8,Thick and creamy texture. Pleasant flavor. No after taste.,4,"I am impressed with the 15% Calcium, great taste and 0% milk fat!",Lower the price.
Chobani Smooth,8,Very smooth and creamy.  Lowfat usually has a funny taste to me but this product did not.  The packaging is appealing and I like that the word smooth is highlighted.  I like the cost (2 for $1.75).,5,The yogurt does not have an aftertaste which is often common with lowfat products.  The packaging should show the word  lowfat  better as that may make a difference to many.,Very little.  Perhaps a tad more strawberry flavoring.
Chobani Original,7,The flavor of the yogurt is something that I enjoy the most.  The texture of the yogurt was smooth.,3,I think the package did a good job of representing the yogurt.,Nothing
Chobani Smooth,8,Has a good flavor and not too sweet.  Smooth texture like stated on the package.  Often non-greek yogurts taste so sugary and this one did not.,5,The packaging represents the product well.  What I found unexpected was the sweetness.  It had a good fruit flavor that wasn't overpowered by sugar taste.,It is a bit runny/watery/thin.  I would like it a little bit thicker.
Chobani Original,7,I liked the flavor of the yougart and the mix in stuff and the packaging of the product.,3,Unexpected was the amoun the small amount of yougart in the actual container. I would change nothing on the packaging.,"I don't know if you can change this, but when initially opening the container the first thing I saw was the water from the yougart. Also at the first appearance the mix in fuit is not visually appealing, looks like jelly thrown into the yougart container.    Do not like that the container is only half full if that, fill up the cup atleast 3/4 of the way or use a smaller container, otherwise it is disappointing and a waste."
Chobani Smooth,7,it was very smooth,4,How smooth the yogurt was.,Strawberry flavor was just a tad bitter
Chobani Original,8,The chunks of strawberry in it.,4,Nothing unexpected. I like all the info on the packaging,Nothing
Chobani Smooth,8,Very creamy with chunks of real fruit.  11 grams of protein.,4,Real chunks of strawberries.,A little thin.
Chobani Original,8,The flavor is good and the texture is creamy.,5,The flavor was better than I remember Chobani tasting in the past.,nothing
Chobani Smooth,8,It really tasted like fresh strawberry.  There was a lot of pieces fruit in it. It was not chalky.,5,I did not expect this great flavor. It really stood out. The package was really hard to read on the ingredients and nutrition label. The res with the white writing was really hard to see.,"I would make it a little thicker, The consistency was a little runny."
Chobani Original,8,Strawberry flavor was perfect & I liked the thick consistency.,4,I would change the price.  It seems too high for just one.,Make the serving size larger for that price.
Chobani Smooth,8,I love how it had a strong taste in flavor.,4,I like how the yogurt inside is presented on the outside package.,What I would change is how heavy tasting the yogurt is. To make it better I would make it more smooth than heavy.
Chobani Original,8,I love the texture and flavor of the yogurt.,4,Nothing. i think the package describes the product very well.,I shake the product before I open it because it helps mix it up.
Chobani Smooth,6,Creamy texture.  Good portion size.,3,Nothing.,Add more strawberry flavor.
Chobani Original,8,"It tasted really good.  Not too heavy of a strawberry taste, just enough",5,I thought that the fruit at the bottom might have a bad taste or texture so I was apprehensive at first.  But it wastn at all,nothing
Chobani Smooth,8,"It's smooth, creamy and easily blend able (mixing in the fruit with yogurt part).",5,SO smooth and creamy,Specify the Amount of protein on the package
Chobani Original,8,I enjoy the fruit at the bottom and overall the taste creamy and smooth.,3,Everything is what I expected,Nothing
Chobani Smooth,8,"the strawberry flavor was deep , II also texture - thick but not too thick",4,the labeling was ok,the packaging I hate the ridge on the inside
Chobani Original,6,It has good flavor and good texture with the yogurt.,2,Make the strawberry flavor better and add more to the bottom of the cup.,The strawberry flavor wasn't strong enough.
Chobani Smooth,9,I like that it tastes smooth and creamy. The taste is really nice and I also like the thickness/density.,5,N/A,N/A
Chobani Original,7,I like the strawberry flavor and it is the right amount of sweet flavor. Creamy too.,3,N/A,Nothing
Chobani Smooth,7,"all natural, good flavor, smooth and creamy",3,sweeter than expected,fruit pieces
Chobani Original,7,The taste,3,N/A,The appearance of the strawberries - I'd make them look fresher
Chobani Smooth,6,The flavor is pretty good. I like that it's high in protein and lower in fat and sugar than regular greek yogurt.,3,I thought it would have a thicker texture.,Thicker texture. Even less sweet. More strawberry pieces.
Chobani Original,7,The yogurt is thick. The fruit flavor is good.,3,Packaging seemed fine.,Not the biggest fan of fruit on the bottom style yogurt.
Chobani Smooth,7,I liked how creamy it was and how the taste was consistent throughout the product. Like there wasn't any spots where it tasted like bland yogurt.,2,The packaging looked so cheap. It looked exactly like anything Target brand and you can barely see the Chobani logo. I would not pick out this yogurt in stores because I would probably walk by it and think it was Target starting a yogurt.,"I would make it a tiny bit more thick in consistency, I liked the creamy texture but it was almost slippery which is not my favorite in a yogurt. I disliked greatly the packaging. If they did one big change, it would have to be the packaging."
Chobani Original,8,"I liked the strawberry flavor, it's very sweet, not tart,creamy.",5,Sweetness-sweeter than expected.,Nothing
Chobani Smooth,8,"thickness of the yogurt, and the taste",5,.,possibly add more fruit chunks
Chobani Original,8,"It had good flavor, creamy, no aftertaste that was bad",3,The package seems pretty clear - it was expected.,"Less sugar if possible, I'm not a huge fan of the chunks of fruit - wish they mixed in better"
Chobani Smooth,8,"creamy and the texture, good tast",4,the taste flavor of the fruit,nothing
Chobani Original,8,"It's smooth and taste's like the natural strawberry flavor. Also, it had a good aftertaste.",4,I didn't realize how much protein was in the product. That's a good thing and should stand out more on the package.,Increase the size of the package.
Chobani Smooth,7,I liked the thickness and flavor of it.,4,"Smoother, thick yogurt, with great flavor.",Add bigger chunks of strawberries to it.
Chobani Original,7,DIDN'T LEAVE A WEIRD AFTER TASTE IN MY MOUTH & IT WASN'T TOO TART,2,NOT AS FRUITY AS I WOULD HAVE LIKED,"MORE FRUIT, LESS SUGAR & A LITTLE TOO THICK."
Chobani Smooth,9,"It has a very smooth texture, not powdery or clumpy.  I like that it only has natural coloringing.  I like that there isn't fruit on the bottom or fruit pieces in it, so I don't have to mix it before I eat it...I can just eat it!  It's not too sweet and it has the ideal strawberry flavor to it.  It's thick, so it feels like I'm eating greek yogurt.  The price is a good deal.",5,"I like that the packaging is colorful and playful and has all the information on it.  However the word  classic  doesn't resonate with me.  I've seen this before where companies use  original  or  classic  and if I wasn't a user with their original recipe, then I don't care.  Perhaps,  natural  would be a good option.  Or maybe a coined term can be made.   greek-like.   While I do like that the packaging is colorful, it doesn't match the almost white product inside, but I think that's OK.  If I saw someone holding that bright red container, I would want to know what they are eating.  And as mentioned above I like the product as is.",Nothing.
OSY Strawberry,7,I like that i could actually see the strawberrys and they had a consistancy to them,4,the pieces of strawberrys,Add more strawberry flavor
Chobani Smooth,3,Creamy,2,Very fake flavor taste - almost chemical.,Add fruit pieces
OSY Strawberry,8,I liked the creaminess of the yogurt. I also enjoyed the amount and size of strawberry pieces.,3,nothing,nothing
Chobani Smooth,9,I like the flavor and the smoothness,5,The flavor was unexpected,More strawberries
OSY Strawberry,9,"Fresh tasting. Good consistency ,not too thick or too watery.",4,The pricing of .50 is quite a bit less than what I usually pay...more like .89 .,More pieces of fruit.
Chobani Smooth,7,"packaging is very appealing, tasted pretty good for low fat",3,Was very filling  Replace word Smooth on top of package with low fat classic yogurt - make low fat more visible,Have more of a strawberry taste
OSY Strawberry,8,The strawberries were very good.  Overall flavor was also very good.,4,Nothing was unexpected.  The package communicated the contents well.,I do not like the packaging.  The opening on top is too small and that makes it harder to get a spoon in and out.
Chobani Smooth,6,"Wide container cup design, real fruit pieces, texture, 25% less sugar 2x more protein advertised on product, Chobani smooth low-fat classic yogurt description",3,.,lower price
OSY Strawberry,8,"good flavor, little tangy, good amount of fruit, good price",3,none,none
Chobani Smooth,5,Creamy texture.  Strawberry flavor.,3,Nothing wrong with the packaging.,"It had a slight, IDK, chalky taste?"
OSY Strawberry,8,"The flavor, the creaminess of the yogurt.",3,Maybe specify that there are chunks of fruit in it.,I would take out the chunks of fruit.
Chobani Smooth,7,"Flavor, consistancy",3,No nutrition label,Color was not appealing
OSY Strawberry,8,I like the strawberry taste a lot and overall texture and flavor.,4,I didn't expect it to be as chunky with fruit. I don't think the package would need to be any different though as it has a clean and simple look to it.,Less big fruit chunks.
Chobani Smooth,8,"creamy, smooth",3,needs more real fruit,add more strawberry flavor and strawberries
OSY Strawberry,9,"Sweetness, texture",5,Nothing,Nothing
Chobani Smooth,8,the creaminess of the yogurt.,4,nothing,oth
OSY Strawberry,7,I liked the creamy texture.  It had a nice flavor,3,none,Nothing
Chobani Smooth,8,"It is nice, smooth and thick texture.",4,It is low-fat but taste like regular yogurt.,"If it can be a little bit sweeter without adding more gram of sugar, that would be better."
OSY Strawberry,9,"Very creamy and tasty, love the strawberry taste",5,Didn't look very good,Add more fruit pieces
Chobani Smooth,7,It is very smooth and creamy.,2,Not very much flavor and is a little too runny.,It needs to have pieces of strawberries added for more flavor as well as to have a slightly thicker consistency.
OSY Strawberry,9,"taste, price, shelf life",3,Nothing unexpected  I like it the way it is,Nothing this one is my favorite
Chobani Smooth,8,"great flavor, smooth and easy to eat",5,add nutrition information,N/A
OSY Strawberry,8,"It was creamy, not too sweet and had a very good flavor.",3,Nothing.,Add more fruit pieces.
Chobani Smooth,3,I liked the shape of the bowl/container.  It was easier to eat out of and I felt like I had more yogurt than the Yoplait I usually have.,2,"It was not sweet enough.  I guess the package said less sugar, but I didn't realize it would impact the taste that much.",It was not as sweet as I had hoped.  There were some bits of yogurt that were not blended in so I'd get a glob here or there.  The globs were not berries.
